email,password
staff001@test.local,Test1234!
staff002@test.local,Test1234!
staff003@test.local,Test1234!
staff004@test.local,Test1234!
staff005@test.local,Test1234!
staff006@test.local,Test1234!
staff007@test.local,Test1234!
staff008@test.local,Test1234!
staff009@test.local,Test1234!
staff010@test.local,Test1234!
staff011@test.local,Test1234!
staff012@test.local,Test1234!
staff013@test.local,Test1234!
staff014@test.local,Test1234!
staff015@test.local,Test1234!
staff016@test.local,Test1234!
staff017@test.local,Test1234!
staff018@test.local,Test1234!
staff019@test.local,Test1234!
staff020@test.local,Test1234!
staff021@test.local,Test1234!
staff022@test.local,Test1234!
staff023@test.local,Test1234!
staff024@test.local,Test1234!
staff025@test.local,Test1234!
staff026@test.local,Test1234!
staff027@test.local,Test1234!
staff028@test.local,Test1234!
staff029@test.local,Test1234!
staff030@test.local,Test1234!
staff031@test.local,Test1234!
staff032@test.local,Test1234!
staff033@test.local,Test1234!
staff034@test.local,Test1234!
staff035@test.local,Test1234!
staff036@test.local,Test1234!
staff037@test.local,Test1234!
staff038@test.local,Test1234!
staff039@test.local,Test1234!
staff040@test.local,Test1234!
staff041@test.local,Test1234!
staff042@test.local,Test1234!
staff043@test.local,Test1234!
staff044@test.local,Test1234!
staff045@test.local,Test1234!
staff046@test.local,Test1234!
staff047@test.local,Test1234!
staff048@test.local,Test1234!
staff049@test.local,Test1234!
staff050@test.local,Test1234!
